Win/No Contest/Draw,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time
win,Mohammed Usman,Zac Pauga,1,0,12,32,0,0,0,0,Heavyweight,KO/TKO Punch,2,0:36
win,Juliana Miller,Brogan Walker,0,0,54,30,4,0,1,0,Women's Flyweight,KO/TKO Elbows,3,3:57
win,Serghei Spivac,Augusto Sakai,0,0,33,8,6,0,1,0,Heavyweight,KO/TKO Punches,2,3:42
win,Terrance McKinney,Erick Gonzalez,0,0,18,9,1,0,1,0,Lightweight,SUB Rear Naked Choke,1,2:17
win,Michal Oleksiejczuk,Sam Alvey,2,0,22,3,0,0,0,0,Middleweight,KO/TKO Punch,1,1:56
win,Bryan Battle,Takashi Sato,1,0,7,2,0,0,0,0,Welterweight,KO/TKO Kick,1,0:44
win,Cory McKenna,Miranda Granger,0,0,13,13,3,0,2,0,Women's Strawweight,SUB Von Flue Choke,2,1:03
win,Mayra Bueno Silva,Stephanie Egger,0,0,4,8,0,1,1,0,Women's Bantamweight,SUB Armbar,1,1:17
win,Amanda Nunes,Julianna Pena,3,0,85,60,6,0,1,1,Women's Bantamweight,U-DEC,5,5:00
win,Brandon Moreno,Kai Kara-France,1,0,58,53,0,1,0,0,Flyweight,KO/TKO Kick,3,4:34
win,Sergei Pavlovich,Derrick Lewis,1,0,15,4,0,0,0,0,Heavyweight,KO/TKO Punches,1,0:55
win,Alexandre Pantoja,Alex Perez,0,0,8,10,1,0,1,0,Flyweight,SUB Neck Crank,1,1:31
win,Magomed Ankalaev,Anthony Smith,0,0,46,18,0,0,0,0,Light Heavyweight,KO/TKO Punches,2,3:09
win,Alex Morono,Matthew Semelsberger,0,1,106,74,0,1,0,0,Welterweight,U-DEC,3,5:00
win,Drew Dober,Rafael Alves,1,0,62,37,0,1,0,0,Lightweight,KO/TKO Punch,3,1:30
ncnc,Don'Tale Mayes,Hamdy Abdelwahab,0,1,47,58,0,3,0,0,Heavyweight,Overturned,3,5:00
win,Drakkar Klose,Rafa Garcia,0,0,61,34,2,3,0,0,Lightweight,U-DEC,3,5:00
win,Michael Morales,Adam Fugitt,2,0,83,64,0,1,0,0,Welterweight,KO/TKO Punch,3,1:09
win,Joselyne Edwards,Ji Yeon Kim,0,0,101,78,1,0,0,0,Women's Bantamweight,S-DEC,3,5:00
win,Nicolae Negumereanu,Ihor Potieria,0,0,51,38,2,0,0,0,Light Heavyweight,KO/TKO Knees,2,3:33
win,Orion Cosce,Blood Diamond,0,0,25,63,3,0,0,0,Welterweight,U-DEC,3,5:00
win,Curtis Blaydes,Tom Aspinall,0,0,4,3,0,0,0,0,Heavyweight,KO/TKO,1,0:15
win,Jack Hermansson,Chris Curtis,0,0,100,43,0,0,0,0,Middleweight,U-DEC,3,5:00
win,Paddy Pimblett,Jordan Leavitt,0,0,17,16,1,3,4,0,Lightweight,SUB Rear Naked Choke,2,2:46
win,Nikita Krylov,Alexander Gustafsson,2,0,26,5,0,0,0,0,Light Heavyweight,KO/TKO Punch,1,1:07
win,Molly McCann,Hannah Goldy,1,0,24,9,0,0,0,0,Women's Flyweight,KO/TKO Spinning Back Elbow,1,3:52
win,Volkan Oezdemir,Paul Craig,0,0,72,33,1,0,0,0,Light Heavyweight,U-DEC,3,5:00
win,Ludovit Klein,Mason Jones,1,0,50,43,0,0,0,0,Lightweight,U-DEC,3,5:00
win,Marc Diakiese,Damir Hadzovic,0,0,13,5,8,0,0,0,Lightweight,U-DEC,3,5:00
win,Nathaniel Wood,Charles Rosa,0,0,97,51,1,2,0,1,Featherweight,U-DEC,3,5:00
win,Jonathan Pearce,Makwan Amirkhani,0,0,90,11,4,3,0,0,Featherweight,KO/TKO Punches,2,4:10
win,Muhammad Mokaev,Charles Johnson,0,0,12,12,12,0,0,0,Flyweight,U-DEC,3,5:00
win,Jai Herbert,Kyle Nelson,0,0,36,41,0,0,0,0,Lightweight,U-DEC,3,5:00
win,Victoria Leonardo,Mandy Bohm,0,0,39,52,2,0,0,1,Women's Flyweight,U-DEC,3,5:00
win,Nicolas Dalby,Claudio Silva,0,0,45,11,1,4,1,0,Welterweight,U-DEC,3,5:00
win,Yair Rodriguez,Brian Ortega,0,0,23,22,0,1,0,0,Featherweight,KO/TKO,1,4:11
win,Amanda Lemos,Michelle Waterson-Gomez,0,0,20,29,0,1,1,0,Women's Strawweight,SUB Guillotine Choke,2,1:48
win,Li Jingliang,Muslim Salikhov,1,0,38,23,1,1,0,0,Welterweight,KO/TKO Punches,2,4:38
win,Matt Schnell,Sumudaerji,0,1,47,58,2,0,2,0,Flyweight,SUB Triangle Choke,2,4:24
win,Shane Burgos,Charles Jourdain,0,0,42,113,2,0,3,0,Featherweight,M-DEC,3,5:00
win,Lauren Murphy,Miesha Tate,0,0,102,85,2,0,0,0,Women's Flyweight,U-DEC,3,5:00
win,Punahele Soriano,Dalcha Lungiambula,1,0,17,11,0,2,0,0,Middleweight,KO/TKO Punch,2,0:28
win,Ricky Simon,Jack Shore,1,0,25,19,2,0,1,0,Bantamweight,SUB Arm Triangle,2,3:28
win,Bill Algeo,Herbert Burns,0,0,28,10,1,1,0,2,Featherweight,KO/TKO,2,1:50
win,Dustin Jacoby,Da Woon Jung,1,0,14,14,0,0,0,0,Light Heavyweight,KO/TKO Punch,1,3:13
win,Dustin Stoltzfus,Dwight Grant,0,0,49,52,2,0,0,0,Middleweight,U-DEC,3,5:00
win,Emily Ducote,Jessica Penne,0,0,116,63,0,0,0,0,Women's Strawweight,U-DEC,3,5:00
win,Rafael Fiziev,Rafael Dos Anjos,1,0,64,54,0,2,0,0,Lightweight,KO/TKO Punch,5,0:18
win,Caio Borralho,Armen Petrosyan,0,0,12,31,4,0,0,0,Middleweight,U-DEC,3,5:00
win,Said Nurmagomedov,Douglas Silva de Andrade,0,0,42,28,1,1,0,0,Bantamweight,U-DEC,3,5:00
win,Chase Sherman,Jared Vanderaa,1,0,137,109,0,0,0,0,Heavyweight,KO/TKO Punches,3,3:10
win,Aiemann Zahabi,Ricky Turcios,0,0,54,27,0,0,0,0,Bantamweight,U-DEC,3,5:00
win,Jamie Mullarkey,Michael Johnson,0,1,96,66,0,0,0,0,Lightweight,S-DEC,3,5:00
win,Cody Brundage,Tresean Gore,1,0,15,8,1,0,0,0,Middleweight,KO/TKO Punch,1,3:50
win,Antonina Shevchenko,Cortney Casey,0,0,55,33,0,2,0,0,Women's Flyweight,S-DEC,3,5:00
win,David Onama,Garrett Armfield,0,0,29,21,2,0,1,0,Featherweight,SUB Arm Triangle,2,3:13
win,Kennedy Nzechukwu,Karl Roberson,0,0,20,9,5,0,1,0,Light Heavyweight,KO/TKO Elbows,3,2:19
win,Saidyokub Kakhramonov,Ronnie Lawrence,0,0,32,15,10,1,0,0,Bantamweight,U-DEC,3,5:00
win,Israel Adesanya,Jared Cannonier,0,0,116,90,0,0,0,0,Middleweight,U-DEC,5,5:00
win,Alexander Volkanovski,Max Holloway,0,0,199,127,0,0,0,0,Featherweight,U-DEC,5,5:00
win,Alex Pereira,Sean Strickland,1,0,25,15,0,0,0,0,Middleweight,KO/TKO Punches,1,2:36
win,Bryan Barberena,Robbie Lawler,0,0,147,81,0,0,0,0,Welterweight,KO/TKO Punches,2,4:47
ncnc,Pedro Munhoz,Sean O'Malley,0,0,26,25,0,0,0,0,Bantamweight,CNC,2,3:09
win,Jalin Turner,Brad Riddell,0,0,3,2,0,0,1,0,Lightweight,SUB Guillotine Choke,1,0:45
win,Jim Miller,Donald Cerrone,0,0,24,21,1,0,1,0,Welterweight,SUB Guillotine Choke,2,1:32
win,Ian Machado Garry,Gabe Green,1,0,116,90,1,1,0,0,Welterweight,U-DEC,3,5:00
win,Dricus Du Plessis,Brad Tavares,0,0,113,82,0,0,0,0,Middleweight,U-DEC,3,5:00
win,Andre Muniz,Uriah Hall,0,0,17,6,4,0,0,0,Middleweight,U-DEC,3,5:00
win,Maycee Barber,Jessica Eye,0,0,63,35,0,1,0,0,Women's Flyweight,U-DEC,3,5:00
win,Julija Stoliarenko,Jessica-Rose Clark,0,0,6,9,1,0,1,0,Women's Bantamweight,SUB Armbar,1,0:42
win,Mateusz Gamrot,Arman Tsarukyan,0,1,81,95,6,1,0,0,Lightweight,U-DEC,5,5:00
win,Shavkat Rakhmonov,Neil Magny,0,0,19,11,2,0,1,0,Welterweight,SUB Guillotine Choke,2,4:58
win,Josh Parisian,Alan Baudot,0,1,42,49,3,0,0,0,Heavyweight,KO/TKO Punches,2,3:04
win,Thiago Moises,Christos Giagos,0,0,3,2,1,0,1,0,Lightweight,SUB Rear Naked Choke,1,3:05
win,Umar Nurmagomedov,Nate Maness,0,0,74,2,3,0,0,0,Bantamweight,U-DEC,3,5:00
win,Chris Curtis,Rodolfo Vieira,0,0,109,86,0,0,0,0,Middleweight,U-DEC,3,5:00
win,Carlos Ulberg,Tafon Nchukwi,1,0,15,3,0,0,0,0,Light Heavyweight,KO/TKO Punches,1,1:15
win,Shayilan Nuerdanbieke,TJ Brown,1,0,47,42,3,1,0,4,Featherweight,U-DEC,3,5:00
win,Sergey Morozov,Raulian Paiva,0,0,68,63,2,1,0,0,Bantamweight,U-DEC,3,5:00
win,Cody Durden,JP Buys,1,0,23,7,0,0,0,0,Flyweight,KO/TKO Punch,1,1:08
win,Mario Bautista,Brian Kelleher,0,0,6,2,2,0,1,0,Bantamweight,SUB Rear Naked Choke,1,2:27
win,Vanessa Demopoulos,Jinh Yu Frey,0,0,66,62,1,0,0,0,Women's Strawweight,S-DEC,3,5:00
win,Josh Emmett,Calvin Kattar,0,0,107,130,0,0,0,0,Featherweight,S-DEC,5,5:00
win,Kevin Holland,Tim Means,0,0,36,21,0,2,1,0,Welterweight,SUB D'Arce Choke,2,1:28
win,Joaquin Buckley,Albert Duraev,2,0,27,10,0,2,0,0,Middleweight,KO/TKO,2,5:00
win,Damir Ismagulov,Guram Kutateladze,0,0,79,78,0,1,0,0,Lightweight,S-DEC,3,5:00
win,Gregory Rodrigues,Julian Marquez,3,0,49,13,0,0,0,0,Middleweight,KO/TKO Punch,1,3:18
win,Adrian Yanez,Tony Kelley,1,0,35,20,0,0,0,0,Bantamweight,KO/TKO Punches,1,3:49
win,Natalia Silva,Jasmine Jasudavicius,0,0,96,31,2,0,0,0,Women's Flyweight,U-DEC,3,5:00
win,Jeremiah Wells,Court McGee,1,0,7,3,0,0,0,0,Welterweight,KO/TKO Punch,1,1:34
win,Ricardo Ramos,Danny Chavez,1,0,4,3,0,0,0,0,Featherweight,KO/TKO Spinning Back Elbow,1,1:12
win,Maria Oliveira,Gloria de Paula,0,0,96,105,2,2,0,0,Women's Strawweight,S-DEC,3,5:00
win,Cody Stamann,Eddie Wineland,1,0,27,3,0,0,0,0,Bantamweight,KO/TKO Punches,1,0:59
win,Phil Hawes,Deron Winn,1,0,118,32,1,0,0,0,Middleweight,KO/TKO Elbows,2,4:25
win,Roman Dolidze,Kyle Daukaus,2,0,8,4,0,0,0,0,Middleweight,KO/TKO Knee,1,1:13
win,Jiri Prochazka,Glover Teixeira,0,0,120,111,0,5,1,1,Light Heavyweight,SUB Rear Naked Choke,5,4:32
win,Valentina Shevchenko,Taila Santos,0,0,77,55,3,3,1,3,Women's Flyweight,S-DEC,5,5:00
win,Zhang Weili,Joanna Jedrzejczyk,1,0,69,43,3,0,0,0,Women's Strawweight,KO/TKO Spinning Back Fist,2,2:28
win,Jake Matthews,Andre Fialho,1,0,47,18,0,0,0,0,Welterweight,KO/TKO Punch,2,2:24
win,Jack Della Maddalena,Ramazan Emeev,1,0,18,7,0,1,0,1,Welterweight,KO/TKO Punch,1,2:32
win,Josh Culibao,SeungWoo Choi,2,0,51,46,0,1,0,0,Featherweight,S-DEC,3,5:00
win,Maheshate,Steve Garcia,2,0,7,7,0,0,0,0,Lightweight,KO/TKO Punch,1,1:14
win,Brendan Allen,Jacob Malkoun,0,0,45,33,2,7,0,0,Middleweight,U-DEC,3,5:00
win,Kyung Ho Kang,Batgerel Danaa,0,0,100,109,0,0,0,0,Bantamweight,U-DEC,3,5:00
win,Silvana Gomez Juarez,Liang Na,1,0,8,4,0,0,0,0,Women's Strawweight,KO/TKO Punches,1,1:22
win,Joselyne Edwards,Ramona Pascual,0,0,164,63,0,1,0,0,Women's Featherweight,U-DEC,3,5:00
win,Alexander Volkov,Jairzinho Rozenstruik,0,0,21,6,0,0,0,0,Heavyweight,KO/TKO Punches,1,2:12
win,Movsar Evloev,Dan Ige,0,0,68,42,9,0,0,0,Featherweight,U-DEC,3,5:00
win,Lucas Almeida,Michael Trizano,2,1,75,31,0,0,0,0,Featherweight,KO/TKO Punches,3,0:55
win,Karine Silva,Poliana Botelho,0,0,17,19,1,0,1,0,Women's Flyweight,SUB D'Arce Choke,1,4:55
win,Ode Osbourne,Zarrukh Adashev,1,0,7,7,0,0,0,0,Flyweight,KO/TKO Punch,1,1:01
win,Alonzo Menifield,Askar Mozharov,0,0,19,2,2,0,0,0,Light Heavyweight,KO/TKO Elbows,1,4:40
win,Karolina Kowalkiewicz,Felice Herrig,0,0,82,55,0,0,2,0,Women's Strawweight,SUB Rear Naked Choke,2,4:01
win,Joe Solecki,Alex Da Silva,0,1,33,35,1,0,3,0,Lightweight,M-DEC,3,5:00
win,Damon Jackson,Dan Argueta,0,0,32,27,2,1,1,0,Featherweight,U-DEC,3,5:00
win,Benoit Saint Denis,Niklas Stolze,0,0,8,11,3,0,2,1,Lightweight,SUB Rear Naked Choke,2,1:32
win,Tony Gravely,Johnny Munoz,1,0,5,2,0,0,0,0,Bantamweight,KO/TKO Punch,1,1:08
win,Jeff Molina,Zhalgas Zhumagulov,0,0,56,37,0,2,0,0,Flyweight,S-DEC,3,5:00
win,Rinat Fakhretdinov,Andreas Michailidis,0,0,45,18,5,0,0,0,Welterweight,U-DEC,3,5:00
win,Erin Blanchfield,JJ Aldrich,0,0,48,32,0,2,1,0,Women's Flyweight,SUB Guillotine Choke,2,2:38
win,Ketlen Vieira,Holly Holm,0,0,85,96,1,0,1,0,Women's Bantamweight,S-DEC,5,5:00
win,Michel Pereira,Santiago Ponzinibbio,0,0,110,105,0,1,0,0,Welterweight,S-DEC,3,5:00
win,Chidi Njokuani,Dusko Todorovic,1,0,14,5,0,2,1,0,Middleweight,KO/TKO Elbow,1,4:48
win,Tabatha Ricci,Polyana Viana,0,0,33,36,5,0,0,0,Women's Strawweight,U-DEC,3,5:00
win,JunYong Park,Eryk Anders,0,0,105,65,0,3,0,0,Middleweight,S-DEC,3,5:00
win,Joseph Holmes,Alen Amedovski,1,0,16,1,1,0,1,0,Middleweight,SUB Rear Naked Choke,1,1:04
win,Jailton Almeida,Parker Porter,0,0,18,0,1,0,1,0,Heavyweight,SUB Rear Naked Choke,1,4:35
win,Uros Medic,Omar Morales,2,0,47,33,0,0,0,0,Lightweight,KO/TKO Punch,2,3:05
win,Jonathan Martinez,Vince Morales,0,0,88,51,2,0,0,0,Bantamweight,U-DEC,3,5:00
win,Chase Hooper,Felipe Colares,0,0,60,21,4,2,3,0,Featherweight,KO/TKO Punches,3,3:00
win,Sam Hughes,Elise Reed,0,0,43,17,4,0,0,0,Women's Strawweight,KO/TKO Elbows,3,3:52
win,Jan Blachowicz,Aleksandar Rakic,0,0,31,27,0,1,1,0,Light Heavyweight,KO/TKO,3,1:11
win,Ryan Spann,Ion Cutelaba,0,0,4,2,0,3,1,0,Light Heavyweight,SUB Guillotine Choke,1,2:22
win,Davey Grant,Louis Smolka,1,0,81,71,0,0,0,0,Bantamweight,KO/TKO Punches,3,0:49
win,Katlyn Cerminara,Amanda Ribas,0,0,63,55,0,3,0,0,Women's Flyweight,S-DEC,3,5:00
win,Manuel Torres,Frank Camacho,1,0,34,16,0,0,0,0,Lightweight,KO/TKO Punches,1,3:27
win,Allan Nascimento,Jake Hadley,0,0,19,8,2,0,0,1,Flyweight,U-DEC,3,5:00
win,Viviane Araujo,Andrea Lee,0,1,39,47,3,1,2,0,Women's Flyweight,U-DEC,3,5:00
win,Michael Johnson,Alan Patrick,1,0,30,22,1,0,0,0,Lightweight,KO/TKO Punch,2,3:22
win,Virna Jandiroba,Angela Hill,0,0,14,21,3,1,0,0,Women's Strawweight,U-DEC,3,5:00
win,Tatsuro Taira,Carlos Candelario,1,0,57,9,1,2,3,1,Flyweight,U-DEC,3,5:00
win,Andre Petroski,Nick Maximov,0,0,1,4,0,0,1,0,Middleweight,SUB Anaconda Choke,1,1:16
win,Charles Oliveira,Justin Gaethje,1,1,30,21,0,0,2,0,Lightweight,SUB Rear Naked Choke,1,3:22
win,Carla Esparza,Rose Namajunas,0,0,30,37,2,1,0,0,Women's Strawweight,S-DEC,5,5:00
win,Michael Chandler,Tony Ferguson,1,0,27,20,1,0,0,0,Lightweight,KO/TKO Kick,2,0:17
win,Ovince Saint Preux,Mauricio Rua,0,0,62,54,0,0,0,0,Light Heavyweight,S-DEC,3,5:00
win,Randy Brown,Khaos Williams,0,1,93,75,0,0,0,0,Welterweight,S-DEC,3,5:00
win,Francisco Trinaldo,Danny Roberts,0,0,80,36,0,0,1,0,Welterweight,U-DEC,3,5:00
win,Macy Chiasson,Norma Dumont,0,0,32,38,6,0,0,0,Women's Featherweight,S-DEC,3,5:00
win,Brandon Royval,Matt Schnell,0,1,14,12,0,0,1,0,Flyweight,SUB Guillotine Choke,1,2:14
win,Blagoy Ivanov,Marcos Rogerio de Lima,0,0,62,68,0,1,0,0,Heavyweight,U-DEC,3,5:00
win,Andre Fialho,Cameron VanCamp,1,0,17,19,0,0,0,0,Welterweight,KO/TKO Punch,1,2:35
win,Tracy Cortez,Melissa Gatto,0,0,36,30,2,3,1,1,Women's Flyweight,U-DEC,3,5:00
win,CJ Vergara,Kleydson Rodrigues,0,0,71,81,0,2,0,1,Flyweight,S-DEC,3,5:00
win,Loopy Godinez,Ariane Carnelossi,0,0,46,9,8,0,2,0,Women's Strawweight,U-DEC,3,5:00
win,Journey Newson,Fernie Garcia,0,0,57,37,2,0,0,0,Bantamweight,U-DEC,3,5:00
win,Marlon Vera,Rob Font,3,0,159,271,0,1,0,0,Bantamweight,U-DEC,5,5:00
win,Andrei Arlovski,Jake Collier,0,0,91,93,0,2,0,0,Heavyweight,S-DEC,3,5:00
win,Joanderson Brito,Andre Fili,1,0,14,6,0,0,0,0,Featherweight,KO/TKO Punch,1,0:41
win,Grant Dawson,Jared Gordon,0,0,54,77,7,0,2,0,Lightweight,SUB Rear Naked Choke,3,4:11
win,Darren Elkins,Tristan Connelly,0,0,75,66,5,0,1,0,Featherweight,U-DEC,3,5:00
win,Krzysztof Jotko,Gerald Meerschaert,0,0,65,37,4,1,0,0,Middleweight,U-DEC,3,5:00
win,Alexandr Romanov,Chase Sherman,0,0,8,0,3,0,1,0,Heavyweight,SUB Keylock,1,2:11
win,Francisco Figueiredo,Daniel Lacerda,0,0,5,4,0,1,1,0,Flyweight,SUB Kneebar,1,1:18
win,Gabe Green,Yohan Lainesse,0,1,48,41,0,2,0,1,Welterweight,KO/TKO Punches,2,4:02
win,Natan Levy,Mike Breeden,0,0,92,104,9,3,0,0,Lightweight,U-DEC,3,5:00
